date,area_type,area_code,area_name,metric,metric_name,value
2020-06-01,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-06-01,nation,E92000001,England,newAdmissions,New admissions,522.0
2020-06-01,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-06-01,nation,W92000004,Wales,newAdmissions,New admissions,73.0
2020-06-02,nation,S92000003,Scotland,newAdmissions,New admissions,5.0
2020-06-02,nation,W92000004,Wales,newAdmissions,New admissions,106.0
2020-06-02,nation,E92000001,England,newAdmissions,New admissions,553.0
2020-06-02,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-06-03,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-06-03,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-06-03,nation,W92000004,Wales,newAdmissions,New admissions,131.0
2020-06-03,nation,E92000001,England,newAdmissions,New admissions,491.0
2020-06-04,nation,E92000001,England,newAdmissions,New admissions,458.0
2020-06-04,nation,W92000004,Wales,newAdmissions,New admissions,97.0
2020-06-04,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-06-04,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-06-05,nation,S92000003,Scotland,newAdmissions,New admissions,10.0
2020-06-05,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-05,nation,E92000001,England,newAdmissions,New admissions,380.0
2020-06-05,nation,W92000004,Wales,newAdmissions,New admissions,82.0
2020-06-06,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-06-06,nation,E92000001,England,newAdmissions,New admissions,306.0
2020-06-06,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-06-06,nation,W92000004,Wales,newAdmissions,New admissions,92.0
2020-06-07,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-06-07,nation,W92000004,Wales,newAdmissions,New admissions,76.0
2020-06-07,nation,E92000001,England,newAdmissions,New admissions,323.0
2020-06-07,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-08,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-08,nation,W92000004,Wales,newAdmissions,New admissions,59.0
2020-06-08,nation,E92000001,England,newAdmissions,New admissions,348.0
2020-06-08,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-06-09,nation,E92000001,England,newAdmissions,New admissions,397.0
2020-06-09,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-06-09,nation,W92000004,Wales,newAdmissions,New admissions,84.0
2020-06-09,nation,S92000003,Scotland,newAdmissions,New admissions,5.0
2020-06-10,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-10,nation,W92000004,Wales,newAdmissions,New admissions,97.0
2020-06-10,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-06-10,nation,E92000001,England,newAdmissions,New admissions,402.0
2020-06-11,nation,E92000001,England,newAdmissions,New admissions,330.0
2020-06-11,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-06-11,nation,W92000004,Wales,newAdmissions,New admissions,104.0
2020-06-11,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-06-12,nation,E92000001,England,newAdmissions,New admissions,298.0
2020-06-12,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-06-12,nation,W92000004,Wales,newAdmissions,New admissions,90.0
2020-06-12,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-06-13,nation,E92000001,England,newAdmissions,New admissions,265.0
2020-06-13,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-06-13,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-06-13,nation,W92000004,Wales,newAdmissions,New admissions,114.0
2020-06-14,nation,E92000001,England,newAdmissions,New admissions,306.0
2020-06-14,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-06-14,nation,W92000004,Wales,newAdmissions,New admissions,52.0
2020-06-14,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-06-15,nation,S92000003,Scotland,newAdmissions,New admissions,6.0
2020-06-15,nation,W92000004,Wales,newAdmissions,New admissions,68.0
